net,length_um
_202_,293.06
_195_,262.07
_201_,215.99
clknet_0_clk,211.4
_204_,191.88
_259_,186.92
_212_,183.38
clknet_3_4__leaf_clk,145.58
clknet_3_6__leaf_clk,142.64
_196_,137.14
_222_,128.65
clknet_3_3__leaf_clk,128.32
clknet_3_1__leaf_clk,123.42
_283_,122.34
clknet_3_0__leaf_clk,118.78
clknet_3_2__leaf_clk,104.07
clknet_3_5__leaf_clk,97.88
_295_,96.27
_367_,85.39
clk,84.35
_304_,83.5
_233_,73.96
_303_,69.72
_234_,65.46
net2,64.76
d3.debounced,62.8
clknet_3_7__leaf_clk,62.8
_388_,60.04
_306_,58.64
_308_,58.14
_238_,56.89
e2.value\[4\],52.48
_236_,52.36
_384_,51.58
d5.debounced,48.56
net4,48
_137_,44.04
_138_,43.98
d4.debounced,43.48
p0.counter\[3\],42.4
e1.value\[6\],40.82
d6.debounced,38.34
e0.value\[6\],36.54
_198_,35.93
e2.value\[6\],35.72
d1.debounced,34.64
p0.counter\[0\],34.42
_350_,34.38
_035_,33.815
_154_,33.68
net7,33.32
p0.counter\[1\],32.83
e2.value\[1\],32.3
_386_,31.96
_407_,31.96
_246_,30.695
_383_,30.59
e2.value\[5\],30.4
_149_,30
p2.counter\[1\],29
_257_,28.98
_435_,28.96
_354_,28.67
e2.value\[2\],28.48
_338_,28.4
e1.value\[2\],28.28
e0.value\[2\],28.2
_205_,28.01
e1.value\[5\],27.9
p0.counter\[5\],27.64
e2.value\[3\],26.94
p0.counter\[7\],26.12
p1.counter\[0\],26.02
d4.state\[6\],25.28
e2.value\[0\],25.26
_269_,25.2
p2.counter\[0\],24.76
_132_,24.5
e0.value\[4\],24.48
d3.state\[7\],24
d3.state\[2\],23.8
e0.value\[5\],23.46
d6.state\[7\],23.04
net40,23
p0.counter\[2\],22.86
_318_,22.56
p1.counter\[2\],21.98
d0.debounced,21.46
_358_,21.16
p1.counter\[4\],21.14
_349_,21.04
d4.state\[1\],21.04
d6.state\[6\],20.88
p1.counter\[1\],20.6
_136_,20.58
_431_,19.9
d0.state\[7\],19.9
_143_,19.86
enc1_b,19.74
_327_,19.72
d3.state\[1\],19.64
_437_,19.62
p1.counter\[3\],19.44
_255_,19.3
_396_,19.17
_230_,19.08
_191_,18.94
d1.state\[2\],18.88
e0.value\[0\],18.68
p2.counter\[6\],18.64
e1.value\[4\],18.62
_381_,18.5
_316_,18.48
d0.state\[2\],18.42
d4.state\[5\],18.3
_336_,18.24
net15,18.24
_325_,18.18
d1.state\[7\],18.08
_155_,17.78
p2.counter\[5\],17.75
net85,17.68
d4.state\[2\],17.5
_267_,17.48
_282_,17.18
d1.state\[0\],17.08
d5.state\[3\],17.02
_250_,16.98
d0.state\[6\],16.96
p1.counter\[6\],16.7
p1.counter\[5\],16.435
d1.state\[5\],16.42
p0.counter\[4\],16.22
p1.counter\[7\],16.12
_209_,16.03
d3.state\[3\],15.7
e0.value\[3\],15.52
d0.state\[4\],15.4
_300_,15.2
enc0_b,15.16
d4.state\[7\],15.04
_296_,14.96
_385_,14.94
d6.state\[2\],14.92
_439_,14.88
_240_,14.72
_153_,14.52
_252_,14.5
p2.counter\[4\],14.4
p2.counter\[2\],14.3
d5.state\[7\],14.26
_183_,14.08
_294_,14.06
d4.state\[4\],14.06
d3.state\[5\],13.96
_417_,13.9
_122_,13.84
p2.counter\[3\],13.84
net3,13.84
d5.state\[4\],13.82
d6.state\[1\],13.74
_420_,13.72
net75,13.62
_157_,13.58
_410_,13.48
d3.state\[0\],13.42
_139_,13.38
net31,13.38
_217_,13.02
d6.state\[5\],13.02
e2.value\[7\],13.02
_335_,12.98
_330_,12.92
_117_,12.86
d0.state\[0\],12.78
_352_,12.76
_213_,12.66
_305_,12.56
_261_,12.42
enc1_a,12.36
_317_,12.22
e1.old_a,12.22
_161_,12.2
_430_,12.15
pwm2_out,12.14
net37,12.13
_342_,12.105
_142_,12.1
d5.state\[6\],12.1
_126_,12.06
_174_,11.96
net10,11.96
_190_,11.68
d0.state\[1\],11.68
_322_,11.52
_333_,11.46
_032_,11.445
_089_,11.445
d5.state\[2\],11.34
pwm0_out,11.26
_164_,11.24
_165_,11.24
_372_,11.24
_405_,11.22
pwm1_out,11.22
net76,11.2
_323_,11.18
d1.state\[1\],11.18
p0.counter\[6\],11.08
_415_,11.06
_189_,11.04
_319_,11.04
d1.state\[3\],11.04
_271_,10.96
d1.state\[4\],10.92
d0.state\[5\],10.86
net14,10.86
_399_,10.82
net51,10.82
e0.old_a,10.62
_273_,10.54
_402_,10.53
_379_,10.52
_339_,10.5
_393_,10.5
d5.state\[0\],10.48
_274_,10.46
_328_,10.38
_390_,10.36
d3.state\[6\],10.36
_241_,10.315
_225_,10.28
d5.state\[5\],10.18
_398_,10.16
_166_,10.12
d0.state\[3\],10.12
net68,9.98
_128_,9.94
_207_,9.94
net6,9.94
net18,9.86
_357_,9.74
d5.state\[1\],9.68
net28,9.68
_186_,9.64
_394_,9.62
_266_,9.6
_152_,9.58
_135_,9.46
_353_,9.42
_321_,9.32
_380_,9.24
_107_,9.205
e1.value\[3\],9.12
net11,9.075
_244_,9.06
_428_,9.06
_168_,9.02
_243_,9.02
_433_,9.02
_359_,8.9
net9,8.88
_160_,8.86
_181_,8.86
_171_,8.78
_310_,8.78
_397_,8.78
_423_,8.76
net34,8.74
_235_,8.595
_127_,8.58
_134_,8.58
_343_,8.58
_200_,8.56
_249_,8.5
net55,8.5
_364_,8.48
net1,8.48
_144_,8.4
_194_,8.4
_320_,8.4
_314_,8.36
e0.value\[1\],8.36
d4.state\[0\],8.26
_130_,8.24
_248_,8.24
e0.value\[7\],8.14
_403_,8.135
_004_,8.12
_151_,8.12
_344_,8.12
d1.state\[6\],8.1
_169_,8.08
e2.old_b,8.08
net67,8.04
_063_,8.005
_426_,8
_008_,7.98
_172_,7.98
e0.old_b,7.98
net12,7.98
_231_,7.9
_059_,7.8
_211_,7.72
_184_,7.64
_287_,7.64
_178_,7.6
_193_,7.56
_334_,7.56
_408_,7.56
_413_,7.56
d6.state\[4\],7.54
e1.old_b,7.52
net64,7.52
d6.state\[3\],7.5
_061_,7.485
_365_,7.48
_067_,7.385
net25,7.34
_046_,7.275
e1.value\[7\],7.22
net20,7.22
_425_,7.2
_331_,7.18
_438_,7.14
_208_,7.08
_382_,7.06
d6.state\[0\],7.06
_419_,7.04
enc2_b,7.01
_140_,6.98
_258_,6.94
_262_,6.94
_121_,6.9
_072_,6.885
_021_,6.825
_002_,6.76
net57,6.76
_301_,6.72
_324_,6.72
net84,6.72
_042_,6.705
_053_,6.685
_102_,6.685
enc0_a,6.67
_125_,6.6
d3.state\[4\],6.58
_052_,6.54
_421_,6.54
_087_,6.425
_020_,6.365
_081_,6.365
_392_,6.36
p2.counter\[7\],6.36
_080_,6.325
net26,6.32
_006_,6.3
_312_,6.26
_329_,6.26
_031_,6.245
_079_,6.225
_105_,6.225
_218_,6.18
_373_,6.18
_424_,6.18
_013_,6.16
_037_,6.16
d4.state\[3\],6.16
_182_,6.14
_362_,6.14
net35,6.14
net42,6.14
_057_,6.08
_074_,6.065
_156_,6.04
_110_,6.025
_112_,6.025
_096_,6.005
_104_,6.005
_108_,6.005
_264_,5.96
_441_,5.92
_090_,5.895
_251_,5.84
_297_,5.84
_348_,5.84
_289_,5.8
_083_,5.765
_203_,5.72
_268_,5.72
net23,5.72
net52,5.72
_077_,5.7
_163_,5.68
_180_,5.68
_337_,5.68
_366_,5.68
reset,5.65
_103_,5.645
_120_,5.62
_356_,5.6
_124_,5.58
_170_,5.58
_043_,5.545
_066_,5.545
_073_,5.505
_034_,5.5
_228_,5.4
_281_,5.4
_293_,5.4
e2.old_a,5.4
net74,5.4
_148_,5.38
_286_,5.38
net45,5.38
net71,5.38
_276_,5.36
net13,5.36
_119_,5.34
_219_,5.34
_292_,5.34
_361_,5.34
net33,5.34
_247_,5.31
_023_,5.305
_064_,5.265
_253_,5.26
_256_,5.26
_147_,5.22
_177_,5.22
_192_,5.22
_215_,5.22
_401_,5.02
_270_,4.99
_036_,4.985
_133_,4.94
net36,4.94
_391_,4.92
_427_,4.92
_345_,4.9
_432_,4.9
_100_,4.885
_146_,4.88
_302_,4.88
_028_,4.865
_092_,4.845
_040_,4.815
_011_,4.8
_315_,4.8
_363_,4.8
net29,4.8
_085_,4.725
_010_,4.68
net83,4.68
_069_,4.625
_099_,4.6
net17,4.6
_012_,4.58
_016_,4.505
_188_,4.46
_291_,4.46
net19,4.46
net44,4.46
_000_,4.44
_245_,4.42
_341_,4.42
net61,4.42
_027_,4.385
_131_,4.34
_185_,4.34
_227_,4.34
net8,4.34
net21,4.34
_418_,4.22
_060_,4.145
_197_,4.12
_277_,4.12
_275_,4.1
_109_,4.045
_374_,4.02
_416_,4.02
_005_,4
_436_,4
net16,4
net43,4
enc2_a,3.93
_024_,3.925
_048_,3.925
_095_,3.925
_400_,3.9
_404_,3.9
_409_,3.9
_141_,3.88
_206_,3.88
_254_,3.88
net77,3.88
_062_,3.78
_015_,3.705
_026_,3.705
_088_,3.705
net79,3.68
_239_,3.66
_115_,3.62
_078_,3.605
_049_,3.585
_199_,3.56
net39,3.56
_167_,3.54
_220_,3.54
net32,3.505
_030_,3.465
_068_,3.465
_159_,3.42
_360_,3.42
_368_,3.42
_376_,3.42
_084_,3.345
_176_,3.3
_076_,3.245
_091_,3.245
net27,3.2
_116_,3.08
_158_,3.08
_351_,3.08
net53,3.08
_260_,3.05
_022_,3.005
_041_,3.005
_047_,2.98
_232_,2.96
net78,2.96
_098_,2.895
_029_,2.86
_346_,2.86
_058_,2.835
_019_,2.815
_045_,2.785
_070_,2.785
_111_,2.785
_114_,2.76
_123_,2.76
_214_,2.76
_309_,2.76
_347_,2.76
_369_,2.76
_429_,2.76
net58,2.76
_265_,2.735
_101_,2.715
_210_,2.64
_355_,2.64
_001_,2.62
_179_,2.62
_284_,2.62
_326_,2.62
_440_,2.62
net41,2.62
_056_,2.585
_093_,2.545
_106_,2.54
_187_,2.52
_311_,2.52
_395_,2.52
net5,2.52
_229_,2.5
_332_,2.5
net24,2.5
net86,2.5
_050_,2.485
_097_,2.42
net62,2.4
_017_,2.325
_018_,2.325
_038_,2.325
_071_,2.325
_216_,2.3
_226_,2.3
net48,2.3
net70,2.3
_065_,2.255
_278_,2.18
_375_,2.18
_150_,2.16
_162_,2.16
_279_,2.16
_298_,2.16
e1.value\[1\],2.16
net38,2.16
net46,2.16
net50,2.16
net56,2.16
net66,2.16
net80,2.16
_075_,2.145
_414_,2.06
e1.value\[0\],2.06
_173_,2.04
_175_,2.04
_242_,2.04
_387_,2.04
_434_,2.04
_014_,2.025
_025_,2.025
_033_,2.025
_039_,2.025
_044_,2.025
_051_,2.025
_055_,2.025
_082_,2.025
_094_,2.025
_113_,1.895
_054_,1.865
_086_,1.865
_299_,1.84
_313_,1.84
_412_,1.72
_145_,1.7
_224_,1.7
_263_,1.7
net22,1.7
net47,1.7
net54,1.7
net59,1.7
net60,1.7
net73,1.7
_272_,1.6
_118_,1.46
_129_,1.38
_285_,1.38
_288_,1.38
_371_,1.38
_377_,1.38
_378_,1.38
_389_,1.38
_406_,1.26
_340_,1.25
_422_,1.25
_411_,0.97
net30,0.92
net49,0.92
net69,0.92
net81,0.92
_003_,0.46
_007_,0.46
_009_,0.46
_221_,0.46
_223_,0.46
_237_,0.46
_280_,0.46
_290_,0.46
_307_,0.46
_370_,0.46
net63,0.46
net65,0.46
net72,0.46
net82,0.46
